====== 编译 mlp_dcu.cpp ======
[Done] 生成可执行文件：mlp_dcu

====== 运行 mlp_dcu ======
[DEBUG] 程序启动
[INFO] 成功读取数据量: 3394
[DEBUG] 加载数据完毕, data.size() = 3394
[INFO] 开始训练，共 11 个批次，每批大小 256。总样本数 = 2707
[Epoch 1/200] Loss = 0.794123, Time = 7.42698 ms
[Epoch 2/200] Loss = 0.679389, Time = 5.889 ms
[Epoch 3/200] Loss = 0.582157, Time = 5.88539 ms
[Epoch 4/200] Loss = 0.499762, Time = 5.88215 ms
[Epoch 5/200] Loss = 0.429947, Time = 5.87739 ms
[Epoch 6/200] Loss = 0.370791, Time = 5.89049 ms
[Epoch 7/200] Loss = 0.320663, Time = 5.89584 ms
[Epoch 8/200] Loss = 0.278185, Time = 5.88197 ms
[Epoch 9/200] Loss = 0.242188, Time = 5.88997 ms
[Epoch 10/200] Loss = 0.211678, Time = 5.90369 ms
[Epoch 11/200] Loss = 0.185821, Time = 5.89454 ms
[Epoch 12/200] Loss = 0.163906, Time = 5.88365 ms
[Epoch 13/200] Loss = 0.145331, Time = 5.89015 ms
[Epoch 14/200] Loss = 0.129586, Time = 5.89146 ms
[Epoch 15/200] Loss = 0.116241, Time = 5.90637 ms
[Epoch 16/200] Loss = 0.104929, Time = 5.90208 ms
[Epoch 17/200] Loss = 0.0953398, Time = 5.90532 ms
[Epoch 18/200] Loss = 0.087209, Time = 5.88849 ms
[Epoch 19/200] Loss = 0.0803147, Time = 5.90005 ms
[Epoch 20/200] Loss = 0.0744686, Time = 5.89408 ms
[Epoch 21/200] Loss = 0.0695108, Time = 5.89731 ms
[Epoch 22/200] Loss = 0.065306, Time = 5.88242 ms
[Epoch 23/200] Loss = 0.0617395, Time = 5.89537 ms
[Epoch 24/200] Loss = 0.0587138, Time = 5.88983 ms
[Epoch 25/200] Loss = 0.0561465, Time = 5.88923 ms
[Epoch 26/200] Loss = 0.0539677, Time = 5.90423 ms
[Epoch 27/200] Loss = 0.052118, Time = 5.88814 ms
[Epoch 28/200] Loss = 0.0505473, Time = 5.89607 ms
[Epoch 29/200] Loss = 0.049213, Time = 5.90325 ms
[Epoch 30/200] Loss = 0.0480793, Time = 5.90002 ms
[Epoch 31/200] Loss = 0.0471156, Time = 5.89205 ms
[Epoch 32/200] Loss = 0.0462961, Time = 5.90489 ms
[Epoch 33/200] Loss = 0.0455987, Time = 5.91188 ms
[Epoch 34/200] Loss = 0.0450049, Time = 5.90133 ms
[Epoch 35/200] Loss = 0.044499, Time = 5.90989 ms
[Epoch 36/200] Loss = 0.0440675, Time = 5.90204 ms
[Epoch 37/200] Loss = 0.0436991, Time = 5.88689 ms
[Epoch 38/200] Loss = 0.0433842, Time = 5.89523 ms
[Epoch 39/200] Loss = 0.0431146, Time = 5.87673 ms
[Epoch 40/200] Loss = 0.0428836, Time = 5.8982 ms
[Epoch 41/200] Loss = 0.0426852, Time = 5.89919 ms
[Epoch 42/200] Loss = 0.0425144, Time = 5.90871 ms
[Epoch 43/200] Loss = 0.0423672, Time = 5.88755 ms
[Epoch 44/200] Loss = 0.0422398, Time = 5.89182 ms
[Epoch 45/200] Loss = 0.0421294, Time = 5.90601 ms
[Epoch 46/200] Loss = 0.0420332, Time = 5.89335 ms
[Epoch 47/200] Loss = 0.0419493, Time = 5.8882 ms
[Epoch 48/200] Loss = 0.0418756, Time = 5.89469 ms
[Epoch 49/200] Loss = 0.0418108, Time = 5.88334 ms
[Epoch 50/200] Loss = 0.0417534, Time = 5.89325 ms
[Epoch 51/200] Loss = 0.0417023, Time = 5.9127 ms
[Epoch 52/200] Loss = 0.0416566, Time = 5.88947 ms
[Epoch 53/200] Loss = 0.0416155, Time = 5.89462 ms
[Epoch 54/200] Loss = 0.0415783, Time = 5.90399 ms
[Epoch 55/200] Loss = 0.0415445, Time = 5.90507 ms
[Epoch 56/200] Loss = 0.0415134, Time = 5.90803 ms
[Epoch 57/200] Loss = 0.0414848, Time = 5.8831 ms
[Epoch 58/200] Loss = 0.0414582, Time = 5.89573 ms
[Epoch 59/200] Loss = 0.0414333, Time = 5.89612 ms
[Epoch 60/200] Loss = 0.0414099, Time = 5.89256 ms
[Epoch 61/200] Loss = 0.0413878, Time = 5.8933 ms
